tweet_id,dog_breeds,rating_numerator,rating_denominator,dog_name,dog_stage,retweet_count,favorite_count
892420643555336193,welsh_springer_spaniel,13,10,Phineas,,8853,39467
892177421306343426,redbone,13,10,Tilly,,6514,33819
891815181378084864,german_shepherd,12,10,Archie,,4328,25461
891689557279858688,rhodesian_ridgeback,13,10,Darla,,8964,42908
891327558926688256,miniature_pinscher,12,10,Franklin,,9774,41048
891087950875897856,bernese_mountain_dog,13,10,,,3261,20562
890729181411237888,chow,13,10,,,16716,56848
890609185150312448,shopping_cart,13,10,Zoey,,4429,28226
890240255349198849,miniature_poodle,14,10,Cassie,doggo,7711,32467
890006608113172480,golden_retriever,13,10,Koda,,7624,31166
889880896479866881,gordon_setter,13,10,Bruno,,5156,28268
889665388333682689,walker_hound,13,10,,puppo,8538,38818
889638837579907072,pug,12,10,Ted,,4735,27672
889531135344209921,bloodhound,13,10,Stuart,puppo,2321,15359
889278841981685760,lhasa,13,10,Oliver,,5637,25652
888917238123831296,english_setter,12,10,Jim,,4709,29611
888078434458587136,italian_greyhound,13,10,Canela,,3653,22201
887705289381826560,maltese_dog,12,10,Gerald,,5609,30779
887343217045368832,golden_retriever,13,10,Canela,,10737,34222
887101392804085760,malamute,13,10,,,6167,31061
886736880519319552,soft-coated_wheaten_terrier,13,10,Maya,,3443,12306
886680336477933568,chihuahua,13,10,Mingus,,4610,22798
886366144734445568,black-and-tan_coonhound,13,10,Derek,,3316,21524
886258384151887873,toy_terrier,12,10,,,6523,28469
886054160059072513,blenheim_spaniel,13,10,Waffles,,108,0
885984800019947520,pembroke,12,10,,,7097,33382
885528943205470208,llama,12,10,Jimbo,,6683,36689
885518971528720385,chesapeake_bay_retriever,13,10,Maisey,,3899,20788
885311592912609280,chihuahua,14,10,,,19297,0
885167619883638784,curly-coated_retriever,13,10,Lilly,,4556,22367
884925521741709313,dalmatian,13,10,,,16439,68152
884876753390489601,ibizan_hound,12,10,Earl,,6096,28514
884562892145688576,border_collie,13,10,Lola,,5100,24765
884441805382717440,german_shepherd,13,10,Kevin,,5856,27478
884247878851493888,labrador_retriever,14,10,,,21298,74423
884162670584377345,miniature_poodle,13,10,,,3128,20771
883838122936631299,seat_belt,12,10,Yogi,doggo,3586,22349
883482846933004288,italian_greyhound,12,10,Noah,,10407,46860
883117836046086144,english_setter,13,10,Grizzwald,floofer,6949,37914
882992080364220416,miniature_schnauzer,13,10,,,4122,24445
882762694511734784,maltese_dog,13,10,Rusty,,5134,28903
882627270321602560,airedale,12,10,Gus,pupper,6342,28382
881906580714921986,hay,13,10,Koko,,3533,24773
881633300179243008,golden_retriever,13,10,Gary,,7,129
881536004380872706,chesapeake_bay_retriever,17,10,,,16570,50199
880935762899988482,chihuahua,12,10,Elliot,,2886,17346
880872448815771648,chihuahua,13,10,Louis,,3989,21734
880465832366813184,pembroke,12,10,,,6546,29075
880221127280381952,west_highland_white_terrier,12,10,Bella,,4436,27640
880095782870896641,toy_poodle,12,10,Jesse,,4533,28150
879862464715927552,golden_retriever,11,10,,,3642,22667
879674319642796034,miniature_pinscher,13,10,Romeo,,10,315
879492040517615616,giant_schnauzer,14,10,,,3323,23822
879415818425184262,toy_poodle,12,10,Bailey,,45849,107956
879376492567855104,soft-coated_wheaten_terrier,13,10,Duddles,,3261,17099
879130579576475649,vizsla,12,10,Jack,,7181,0
879050749262655488,golden_retriever,14,10,Emmy,,4941,23022
878776093423087618,rottweiler,13,10,Beau,,4319,19763
878604707211726852,siberian_husky,13,10,Snoopy,puppo,7582,30931
878404777348136964,golden_retriever,13,10,,,1349,0
878281511006478336,papillon,11,10,Terrance,,1349,7913
878057613040115712,saint_bernard,13,10,Shadow,,7181,42876
877736472329191424,rottweiler,14,10,Emmy,,17300,71144
877316821321428993,labrador_retriever,12,10,Penny,,5414,27907
877201837425926144,tibetan_terrier,13,10,Dante,,5880,27755
876838120628539392,toy_poodle,12,10,Nelly,,3506,21125
876537666061221889,borzoi,12,10,Ginger,pupper,4800,23869
876484053909872640,chihuahua,14,10,,,2511,19163
876120275196170240,labrador_retriever,13,10,Benedict,,4903,28490
875747767867523072,beagle,13,10,Venti,,4497,25773
875144289856114688,italian_greyhound,13,10,Goose,,5081,22185
875097192612077568,hare,13,10,Nugget,,6342,27997
875021211251597312,golden_retriever,13,10,,,4922,26022
874680097055178752,pembroke,12,10,,,4875,28439
874434818259525634,yorkshire_terrier,12,10,Cash,,15546,0
874296783580663808,pomeranian,12,10,Coco,,4308,26651
874057562936811520,toy_poodle,13,10,Jed,pupper,4125,23134
873580283840344065,web_site,14,10,Walter,,4143,24837
873213775632977920,kuvasz,12,10,Sierra,pupper,1667,7467
872820683541237760,west_highland_white_terrier,12,10,,doggo,3884,15029
872620804844003328,dalmatian,14,10,,,3911,21309
872486979161796608,flat-coated_retriever,13,10,Monkey,,9429,41606
872261713294495745,toyshop,12,10,,,6649,35085
872122724285648897,miniature_pinscher,13,10,Harry,,8549,35324
871879754684805121,malamute,12,10,Kody,,11918,39090
871166179821445120,seat_belt,12,10,Napolean,doggo,5991,0
871102520638267392,malamute,12,10,Dawn,,5764,21461
871032628920680449,pomeranian,14,10,,doggo,3999,23255
870804317367881728,norwegian_elkhound,13,10,Boomer,,6393,33791
870656317836468226,leatherback_turtle,10,10,,,2817,12819
870374049280663552,labrador_retriever,13,10,Cody,,27680,85011
870063196459192321,pembroke,13,10,Rumble,,8840,37771
869702957897576449,chihuahua,13,10,Dewey,,6728,29116
869596645499047938,blenheim_spaniel,13,10,Stanley,,3327,16476
869227993411051520,labrador_retriever,12,10,Scout,doggo,4023,21112
868880397819494401,chow,13,10,Gizmo,,12518,55098
868622495443632128,chow,12,10,Cooper,,6275,28295
868552278524837888,chihuahua,13,10,,,2240,10539
867900495410671616,canoe,12,10,Cooper,,4439,24964
867774946302451713,pembroke,12,10,,,7788,35179
867421006826221569,soft-coated_wheaten_terrier,13,10,Harold,,2697,16755
867072653475098625,golden_retriever,12,10,Shikha,puppo,135,0
866816280283807744,king_penguin,13,10,,,32883,0
866686824827068416,arctic_fox,13,10,,,3727,20070
866450705531457537,standard_poodle,12,10,Lili,,32883,106827
866334964761202691,staffordshire_bullterrier,13,10,Jamesy,pupper,15546,54720
866094527597207552,basenji,12,10,Coco,,8952,0
865718153858494464,labrador_retriever,12,10,,pupper,6008,26640
865359393868664832,lakeland_terrier,13,10,Boomer,,5384,27530
865006731092295680,american_staffordshire_terrier,13,10,Sammy,,8209,29063
864279568663928832,shih-tzu,14,10,,,3266,15195
863553081350529029,chihuahua,13,10,Albus,,4489,15935
863432100342583297,french_bulldog,13,10,Quinn,,5664,24829
863427515083354112,miniature_schnauzer,12,10,Belle,,105,2363
863079547188785154,pekinese,12,10,,,1195,9094
863062471531167744,komondor,14,10,,,2687,8945
862831371563274240,vacuum,13,10,Quinn,,5457,20011
862096992088072192,beagle,13,10,Jersey,,21840,66437
861769973181624320,chesapeake_bay_retriever,13,10,,,37911,0
861383897657036800,redbone,13,10,,,11528,37744
861288531465048066,malinois,13,10,Hobbes,,4479,18032
861005113778896900,golden_retriever,13,10,,,4119,17538
860981674716409858,teddy,12,10,Burt,,2334,0
860924035999428608,kelpie,13,10,Lorenzo,,882,0
860563773140209665,brittany_spaniel,13,10,,,2334,7878
860524505164394496,standard_poodle,13,10,Lorenzo,,5698,24678
860276583193509888,cocker_spaniel,13,10,Carl,,3745,19154
860184849394610176,shower_curtain,12,10,Jordy,,6295,17474
860177593139703809,basset,14,10,,,33421,0
859924526012018688,golden_retriever,10,10,,,4349,20021
859607811541651456,doormat,13,10,Trooper,,1704,19476
859074603037188101,pug,12,10,quite,,14740,35553
858843525470990336,hog,12,10,Winston,,3771,16304
858471635011153920,pembroke,13,10,,doggo,5271,22640
858107933456039936,chihuahua,13,10,Sophie,,3154,16524
857746408056729600,chihuahua,12,10,Rosie,,11524,36021
857393404942143489,pug,13,10,Thor,,1785,6236
857214891891077121,golden_retriever,13,10,Oscar,,20,242
